title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Hellbound: Hellraiser II",movie,"Horror, Thriller",1988,tt0095294,6.4,58188,
"Hot Shots! Part Deux",movie,"Action, Comedy",1993,tt0107144,6.6,99888,
Eraser,movie,"Action, Crime, Thriller",1996,tt0116213,6.2,120704,
"Femme Fatale",movie,"Crime, Drama, Mystery",2002,tt0280665,6.2,38359,
"Ghost in the Shell",movie,"Action, Animation, Crime",1995,tt0113568,7.9,163304,
"Clear and Present Danger",movie,"Action, Crime, Drama",1994,tt0109444,6.9,111308,
"Transporter 2",movie,"Action, Thriller",2005,tt0388482,6.3,219912,
"The Goonies",movie,"Adventure, Comedy, Family",1985,tt0089218,7.7,309924,
"Mad Max Beyond Thunderdome",movie,"Action, Adventure, Sci-Fi",1985,tt0089530,6.2,157203,
"One Hour Photo",movie,"Drama, Thriller",2002,tt0265459,6.8,135252,
"Thank You for Smoking",movie,"Comedy, Drama",2005,tt0427944,7.5,231760,
